Vocabulary Size:  27710
Total number of model parameters: 17.46M
| epoch   6 |  5000/15983 batches | lr 20.00 | ms/batch  4.42 | loss  4.85 | ppl   127.51
| epoch   6 |  5500/15983 batches | lr 20.00 | ms/batch  4.38 | loss  4.85 | ppl   127.44
| epoch   6 |  6000/15983 batches | lr 20.00 | ms/batch  4.37 | loss  4.86 | ppl   128.91
| epoch   6 |  6500/15983 batches | lr 20.00 | ms/batch  4.35 | loss  4.82 | ppl   124.54
| epoch   6 |  7000/15983 batches | lr 20.00 | ms/batch  4.36 | loss  4.83 | ppl   125.73
| epoch   6 |  7500/15983 batches | lr 20.00 | ms/batch  4.38 | loss  4.80 | ppl   121.57
| epoch   6 |  8000/15983 batches | lr 20.00 | ms/batch  4.40 | loss  4.86 | ppl   129.24
| epoch   6 |  8500/15983 batches | lr 20.00 | ms/batch  4.35 | loss  4.82 | ppl   124.48
| epoch   6 |  9000/15983 batches | lr 20.00 | ms/batch  4.34 | loss  4.79 | ppl   120.54
| epoch   6 |  9500/15983 batches | lr 20.00 | ms/batch  4.35 | loss  4.81 | ppl   122.49
| epoch   6 | 10000/15983 batches | lr 20.00 | ms/batch  4.35 | loss  4.79 | ppl   120.05
| epoch   6 | 10500/15983 batches | lr 20.00 | ms/batch  4.35 | loss  4.84 | ppl   126.09
| epoch   6 | 11000/15983 batches | lr 20.00 | ms/batch  4.38 | loss  4.84 | ppl   126.42
| epoch   6 | 11500/15983 batches | lr 20.00 | ms/batch  4.40 | loss  4.82 | ppl   123.41
| epoch   6 | 12000/15983 batches | lr 20.00 | ms/batch  4.34 | loss  4.82 | ppl   123.49
| epoch   6 | 12500/15983 batches | lr 20.00 | ms/batch  4.35 | loss  4.78 | ppl   119.21
| epoch   6 | 13000/15983 batches | lr 20.00 | ms/batch  4.36 | loss  4.80 | ppl   121.78
| epoch   6 | 13500/15983 batches | lr 20.00 | ms/batch  4.37 | loss  4.82 | ppl   123.81
| epoch   6 | 14000/15983 batches | lr 20.00 | ms/batch  4.36 | loss  4.84 | ppl   125.84
| epoch   6 | 14500/15983 batches | lr 20.00 | ms/batch  4.35 | loss  4.80 | ppl   121.37
| epoch   6 | 15000/15983 batches | lr 20.00 | ms/batch  4.38 | loss  4.79 | ppl   120.75
| epoch   6 | 15500/15983 batches | lr 20.00 | ms/batch  4.48 | loss  4.78 | ppl   118.90
-----------------------------------------------------------------------------------------
| end of epoch   6 | time: 70.37s | valid loss  5.04 | valid ppl   154.29
-----------------------------------------------------------------------------------------
=========================================================================================
| End of training | test loss  5.10 | test ppl   163.51
=========================================================================================
