Vocabulary Size:  27710
Total number of model parameters: 25.09M
| epoch   4 |  6500/15983 batches | lr 5.00 | ms/batch  7.69 | loss  6.56 | ppl   707.97
| epoch   4 |  7000/15983 batches | lr 5.00 | ms/batch  7.85 | loss  6.59 | ppl   724.55
| epoch   4 |  7500/15983 batches | lr 5.00 | ms/batch  7.75 | loss  6.56 | ppl   709.08
| epoch   4 |  8000/15983 batches | lr 5.00 | ms/batch  7.72 | loss  6.61 | ppl   744.44
| epoch   4 |  8500/15983 batches | lr 5.00 | ms/batch  7.75 | loss  6.56 | ppl   707.10
| epoch   4 |  9000/15983 batches | lr 5.00 | ms/batch  7.82 | loss  6.53 | ppl   682.91
| epoch   4 |  9500/15983 batches | lr 5.00 | ms/batch  7.75 | loss  6.55 | ppl   698.65
| epoch   4 | 10000/15983 batches | lr 5.00 | ms/batch  7.82 | loss  6.56 | ppl   709.71
| epoch   4 | 10500/15983 batches | lr 5.00 | ms/batch  7.72 | loss  6.57 | ppl   716.79
| epoch   4 | 11000/15983 batches | lr 5.00 | ms/batch  7.67 | loss  6.56 | ppl   704.17
| epoch   4 | 11500/15983 batches | lr 5.00 | ms/batch  7.74 | loss  6.56 | ppl   703.08
| epoch   4 | 12000/15983 batches | lr 5.00 | ms/batch  7.86 | loss  6.53 | ppl   682.75
| epoch   4 | 12500/15983 batches | lr 5.00 | ms/batch  7.98 | loss  6.50 | ppl   666.63
| epoch   4 | 13000/15983 batches | lr 5.00 | ms/batch  8.07 | loss  6.54 | ppl   689.71
| epoch   4 | 13500/15983 batches | lr 5.00 | ms/batch  8.04 | loss  6.56 | ppl   707.30
| epoch   4 | 14000/15983 batches | lr 5.00 | ms/batch  7.87 | loss  6.58 | ppl   722.70
| epoch   4 | 14500/15983 batches | lr 5.00 | ms/batch  7.79 | loss  6.49 | ppl   660.48
| epoch   4 | 15000/15983 batches | lr 5.00 | ms/batch  7.80 | loss  6.48 | ppl   651.15
| epoch   4 | 15500/15983 batches | lr 5.00 | ms/batch  7.81 | loss  6.51 | ppl   672.43
-----------------------------------------------------------------------------------------
| end of epoch   4 | time: 124.86s | valid loss  6.62 | valid ppl   748.55
-----------------------------------------------------------------------------------------
| epoch   5 |   500/15983 batches | lr 5.00 | ms/batch  7.93 | loss  6.56 | ppl   709.30
| epoch   5 |  1000/15983 batches | lr 5.00 | ms/batch  7.83 | loss  6.58 | ppl   717.49
| epoch   5 |  1500/15983 batches | lr 5.00 | ms/batch  7.81 | loss  6.61 | ppl   740.47
| epoch   5 |  2000/15983 batches | lr 5.00 | ms/batch  7.90 | loss  6.53 | ppl   687.44
| epoch   5 |  2500/15983 batches | lr 5.00 | ms/batch  7.89 | loss  6.47 | ppl   648.69
| epoch   5 |  3000/15983 batches | lr 5.00 | ms/batch  7.85 | loss  6.55 | ppl   702.33
| epoch   5 |  3500/15983 batches | lr 5.00 | ms/batch  7.75 | loss  6.57 | ppl   711.70
| epoch   5 |  4000/15983 batches | lr 5.00 | ms/batch  7.75 | loss  6.60 | ppl   733.15
| epoch   5 |  4500/15983 batches | lr 5.00 | ms/batch  7.73 | loss  6.61 | ppl   743.86
