Vocabulary Size:  27710
Total number of model parameters: 23.16M
| epoch   5 |  9500/15983 batches | lr 0.31 | ms/batch  7.25 | loss   nan | ppl      nan
| epoch   5 | 10000/15983 batches | lr 0.31 | ms/batch  6.51 | loss   nan | ppl      nan
| epoch   5 | 10500/15983 batches | lr 0.31 | ms/batch  6.56 | loss   nan | ppl      nan
| epoch   5 | 11000/15983 batches | lr 0.31 | ms/batch  6.83 | loss   nan | ppl      nan
| epoch   5 | 11500/15983 batches | lr 0.31 | ms/batch  7.66 | loss   nan | ppl      nan
| epoch   5 | 12000/15983 batches | lr 0.31 | ms/batch  6.64 | loss   nan | ppl      nan
| epoch   5 | 12500/15983 batches | lr 0.31 | ms/batch  7.44 | loss   nan | ppl      nan
| epoch   5 | 13000/15983 batches | lr 0.31 | ms/batch  6.66 | loss   nan | ppl      nan
| epoch   5 | 13500/15983 batches | lr 0.31 | ms/batch  6.55 | loss   nan | ppl      nan
| epoch   5 | 14000/15983 batches | lr 0.31 | ms/batch  6.59 | loss   nan | ppl      nan
| epoch   5 | 14500/15983 batches | lr 0.31 | ms/batch  7.14 | loss   nan | ppl      nan
| epoch   5 | 15000/15983 batches | lr 0.31 | ms/batch  7.56 | loss   nan | ppl      nan
| epoch   5 | 15500/15983 batches | lr 0.31 | ms/batch  7.31 | loss   nan | ppl      nan
-----------------------------------------------------------------------------------------
| end of epoch   5 | time: 109.12s | valid loss   nan | valid ppl      nan
-----------------------------------------------------------------------------------------
| epoch   6 |   500/15983 batches | lr 0.08 | ms/batch  6.65 | loss   nan | ppl      nan
| epoch   6 |  1000/15983 batches | lr 0.08 | ms/batch  7.14 | loss   nan | ppl      nan
| epoch   6 |  1500/15983 batches | lr 0.08 | ms/batch  7.13 | loss   nan | ppl      nan
| epoch   6 |  2000/15983 batches | lr 0.08 | ms/batch  7.30 | loss   nan | ppl      nan
| epoch   6 |  2500/15983 batches | lr 0.08 | ms/batch  7.33 | loss   nan | ppl      nan
| epoch   6 |  3000/15983 batches | lr 0.08 | ms/batch  6.59 | loss   nan | ppl      nan
| epoch   6 |  3500/15983 batches | lr 0.08 | ms/batch  7.37 | loss   nan | ppl      nan
| epoch   6 |  4000/15983 batches | lr 0.08 | ms/batch  6.53 | loss   nan | ppl      nan
| epoch   6 |  4500/15983 batches | lr 0.08 | ms/batch  7.30 | loss   nan | ppl      nan
| epoch   6 |  5000/15983 batches | lr 0.08 | ms/batch  6.84 | loss   nan | ppl      nan
| epoch   6 |  5500/15983 batches | lr 0.08 | ms/batch  7.72 | loss   nan | ppl      nan
| epoch   6 |  6000/15983 batches | lr 0.08 | ms/batch  6.64 | loss   nan | ppl      nan
| epoch   6 |  6500/15983 batches | lr 0.08 | ms/batch  6.60 | loss   nan | ppl      nan
| epoch   6 |  7000/15983 batches | lr 0.08 | ms/batch  7.49 | loss   nan | ppl      nan
| epoch   6 |  7500/15983 batches | lr 0.08 | ms/batch  6.63 | loss   nan | ppl      nan
| epoch   6 |  8000/15983 batches | lr 0.08 | ms/batch  7.09 | loss   nan | ppl      nan
| epoch   6 |  8500/15983 batches | lr 0.08 | ms/batch  6.66 | loss   nan | ppl      nan
| epoch   6 |  9000/15983 batches | lr 0.08 | ms/batch  7.27 | loss   nan | ppl      nan
| epoch   6 |  9500/15983 batches | lr 0.08 | ms/batch  6.83 | loss   nan | ppl      nan
| epoch   6 | 10000/15983 batches | lr 0.08 | ms/batch  7.65 | loss   nan | ppl      nan
| epoch   6 | 10500/15983 batches | lr 0.08 | ms/batch  6.52 | loss   nan | ppl      nan
| epoch   6 | 11000/15983 batches | lr 0.08 | ms/batch  6.48 | loss   nan | ppl      nan
| epoch   6 | 11500/15983 batches | lr 0.08 | ms/batch  6.48 | loss   nan | ppl      nan
| epoch   6 | 12000/15983 batches | lr 0.08 | ms/batch  6.53 | loss   nan | ppl      nan
| epoch   6 | 12500/15983 batches | lr 0.08 | ms/batch  6.51 | loss   nan | ppl      nan
| epoch   6 | 13000/15983 batches | lr 0.08 | ms/batch  6.64 | loss   nan | ppl      nan
| epoch   6 | 13500/15983 batches | lr 0.08 | ms/batch  6.99 | loss   nan | ppl      nan
| epoch   6 | 14000/15983 batches | lr 0.08 | ms/batch  6.51 | loss   nan | ppl      nan
| epoch   6 | 14500/15983 batches | lr 0.08 | ms/batch  6.76 | loss   nan | ppl      nan
| epoch   6 | 15000/15983 batches | lr 0.08 | ms/batch  6.82 | loss   nan | ppl      nan
| epoch   6 | 15500/15983 batches | lr 0.08 | ms/batch  6.56 | loss   nan | ppl      nan
-----------------------------------------------------------------------------------------
| end of epoch   6 | time: 111.04s | valid loss   nan | valid ppl      nan
-----------------------------------------------------------------------------------------
=========================================================================================
| End of training | test loss   nan | test ppl      nan
=========================================================================================
