We are using cuda:1
In train stage: data size: torch.Size([40, 1, 28, 28])
In test stage: data size: torch.Size([40, 1, 28, 28])
Train batch num: 1500, test batch num: 250
   Iter[700] loss:6185.763671875, rec loss:5523.7421875, kl loss:662.0214233398438
   Iter[800] loss:6871.255859375, rec loss:6242.3125, kl loss:628.9432983398438
   Iter[900] loss:6191.46728515625, rec loss:5541.5693359375, kl loss:649.8977661132812
   Iter[1000] loss:6453.9794921875, rec loss:5877.5400390625, kl loss:576.439208984375
   Iter[1100] loss:6225.5625, rec loss:5577.625, kl loss:647.9376220703125
   Iter[1200] loss:6059.49365234375, rec loss:5509.33544921875, kl loss:550.1582641601562
   Iter[1300] loss:6815.40478515625, rec loss:6220.57470703125, kl loss:594.8299560546875
   Iter[1400] loss:6359.16650390625, rec loss:5773.078125, kl loss:586.0883178710938
   Iter[1500] loss:6408.36767578125, rec loss:5839.4599609375, kl loss:568.90771484375
>> Epoch[12]: loss: 6406.481289713542
   Iter[100] loss:6161.8994140625, rec loss:5545.3779296875, kl loss:616.521240234375
   Iter[200] loss:6414.74267578125, rec loss:5827.9921875, kl loss:586.7506713867188
   Iter[300] loss:6212.60400390625, rec loss:5645.11376953125, kl loss:567.4902954101562
   Iter[400] loss:6101.650390625, rec loss:5526.30419921875, kl loss:575.346435546875
   Iter[500] loss:6804.5166015625, rec loss:6205.96923828125, kl loss:598.5471801757812
   Iter[600] loss:6582.30859375, rec loss:5969.37158203125, kl loss:612.9369506835938
   Iter[700] loss:5939.16552734375, rec loss:5324.794921875, kl loss:614.3704833984375
   Iter[800] loss:6065.04052734375, rec loss:5485.89794921875, kl loss:579.1424560546875
   Iter[900] loss:5969.01025390625, rec loss:5318.6796875, kl loss:650.3303833007812
   Iter[1000] loss:6371.60791015625, rec loss:5782.42138671875, kl loss:589.1866455078125
   Iter[1100] loss:6154.13525390625, rec loss:5530.4208984375, kl loss:623.7145385742188
   Iter[1200] loss:6102.67626953125, rec loss:5487.93505859375, kl loss:614.7410278320312
   Iter[1300] loss:6140.5419921875, rec loss:5509.107421875, kl loss:631.434326171875
   Iter[1400] loss:6867.0341796875, rec loss:6311.11328125, kl loss:555.9207763671875
   Iter[1500] loss:6382.703125, rec loss:5770.80322265625, kl loss:611.900146484375
>> Epoch[13]: loss: 6344.922567708333
